Round,Date,Home v Away Teams,Venue,Crowd,Result,Disposals,Goals
14,Sat 19 Jun 1:45pm,Gold Coast v Port Adelaide,People First Stadium,7117,31-81,O. Wines 43,C. Rozee 3
14,Sat 19 Jun 4:35pm,North Melbourne v Brisbane,Ninja Stadium,5060,45-68,J. Lyons 36,N. Larkey 3
14,Sat 19 Jun 7:25pm,GWS v Carlton,ENGIE Stadium,7035,102-66,M. Kennedy 27,J. Hopper 27; J. Finlayson 5
14,,Adelaide,BYE,,,,
14,,Collingwood,BYE,,,,
14,,Fremantle,BYE,,,,
14,,Melbourne,BYE,,,,
14,,Richmond,BYE,,,,
14,,St Kilda,BYE,,,,
14,,Sydney,BYE,,,,
14,,West Coast,BYE,,,,
14,Sun 20 Jun 3:20pm,Hawthorn v Essendon,UTAS Stadium,14834,73-86,T. Mitchell 36,J. Stringer 4; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
15,Thu 24 Jun 7:30pm,Brisbane v Geelong,Gabba,29024,94-50,C. Guthrie 34,J. Daniher 4
15,Fri 25 Jun 7:50pm,Richmond v St Kilda,MCG,14787,22-62,L. Dunstan 32,D. McKenzie 2; M. King 2
15,Sat 26 Jun 1:45pm,Collingwood v Fremantle,Marvel Stadium,11570,79-91,T. Adams 32,R. Lobb 3; L. Schultz 3
15,Sat 26 Jun 1:45pm,North Melbourne v Gold Coast,Ninja Stadium,6719,72-63,T. Miller 32,N. Larkey 3; J. Corbett 3
15,Sat 26 Jun 4:05pm,Port Adelaide v Sydney,Adelaide Oval,29631,81-71,L. Parker 34,L. Franklin 4
15,Sat 26 Jun 7:25pm,Essendon v Melbourne,MCG,19414,57-68,Z. Merrett 41,-
15,Sun 27 Jun 1:10pm,GWS v Hawthorn,MCG,9897,72-90,T. Mitchell 40,D. Moore 4
15,Sun 27 Jun 1:20pm,West Coast v Western Bulldogs,Optus Stadium,,43-98,J. Macrae 32,A. Naughton 4
15,Sun 27 Jun 4:10pm,Carlton v Adelaide,Marvel Stadium,14930,83-73,S. Walsh 38,T. Walker 3; E. Betts 3; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
16,Thu 1 Jul 7:20pm,Gold Coast v Richmond,Marvel Stadium,9327,77-67,T. Miller 36,T. Lynch 5
16,Fri 2 Jul 7:50pm,Geelong v Essendon,GMHBA Stadium,15579,98-57,D. Parish 43,T. Hawkins 6
16,Sat 3 Jul 1:45pm,Melbourne v GWS,MCG,16963,55-64,C. Salem 31,B. Fritsch 3; T. Greene 3
16,Sat 3 Jul 4:05pm,Adelaide v Brisbane,Adelaide Oval,16178,59-111,R. Laird 37,L. McCarthy 4
16,Sat 3 Jul 7:40pm,Hawthorn v Port Adelaide,Marvel Stadium,18251,53-87,O. Wines 43,C. Dixon 4
16,Sat 3 Jul 7:40pm,Fremantle v Carlton,MCG,12103,64-80,A. Brayshaw 28,H. McKay 3
16,Sun 4 Jul 1:10pm,Sydney v West Coast,GMHBA Stadium,9520,118-26,D. Sheed 37,L. Franklin 3; I. Heeney 3
16,Sun 4 Jul 3:20pm,Collingwood v St Kilda,MCG,18082,61-70,J. Steele 36,-
16,Sun 4 Jul 4:40pm,Western Bulldogs v North Melbourne,Marvel Stadium,18216,108-79,J. Macrae 31,A. Hall 31; C. Weightman 4; C. Zurhaar 4; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
17,Thu 8 Jul 7:10pm,Port Adelaide v Melbourne,Adelaide Oval,30908,55-86,C. Petracca 33,O. Wines 33; T. McDonald 3; C. Petracca 3; K. Pickett 3
17,Fri 9 Jul 7:50pm,Essendon v Adelaide,Marvel Stadium,23604,84-21,Z. Merrett 35,A. Perkins 3
17,Sat 10 Jul 1:45pm,Hawthorn v Fremantle,UTAS Stadium,9111,46-108,T. Mitchell 39,R. Lobb 4
17,Sat 10 Jul 4:35pm,Carlton v Geelong,MCG,31834,44-70,S. Walsh 36,H. McKay 2; S. Walsh 2; Z. Tuohy 2
17,Sat 10 Jul 7:25pm,Brisbane v St Kilda,People First Stadium,9075,63-95,J. Steele 32,M. King 3; D. Zorko 3
17,Sun 11 Jul 12:40pm,GWS v Gold Coast,Mars Stadium,2952,64-65,B. Ellis 41,J. Hopper 41; T. Greene 3
17,Sun 11 Jul 3:20pm,Western Bulldogs v Sydney,Marvel Stadium,24817,60-79,J. Lloyd 33,J. Dawson 3
17,Sun 11 Jul 4:10pm,Richmond v Collingwood,MCG,29437,71-87,J. Crisp 33,J. Elliott 3; T. Lynch 3
17,Mon 12 Jul 5:40pm,West Coast v North Melbourne,Optus Stadium,30515,60-70,J. Stephenson 38,N. Larkey 3; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
18,Thu 15 Jul 6:10pm,Fremantle v Geelong,Optus Stadium,35271,31-100,C. Guthrie 35,T. Hawkins 4
18,Fri 16 Jul 7:50pm,Richmond v Brisbane,People First Stadium,4119,106-86,H. McCluggage 30,J. Riewoldt 6
18,Sat 17 Jul 4:35pm,Melbourne v Hawthorn,MCG,,79-79,T. Mitchell 39,L. Breust 3; B. Fritsch 3
18,Sat 17 Jul 4:35pm,Gold Coast v Western Bulldogs,People First Stadium,8244,79-90,T. Miller 38,-
18,Sat 17 Jul 7:25pm,St Kilda v Port Adelaide,Marvel Stadium,,61-74,J. Steele 37,M. Georgiades 4
18,Sun 18 Jul 12:35pm,North Melbourne v Essendon,People First Stadium,5114,74-92,Z. Merrett 39,J. Stringer 4
18,Sun 18 Jul 3:20pm,Collingwood v Carlton,MCG,,62-91,S. Walsh 39,H. McKay 4
18,Sun 18 Jul 4:10pm,Adelaide v West Coast,Adelaide Oval,24554,56-98,R. Laird 34,A. Gaff 34; J. Cripps 5
18,Sun 18 Jul 6:10pm,GWS v Sydney,People First Stadium,2374,72-98,L. Parker 31,L. Franklin 4; T. Papley 4; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
19,Fri 23 Jul 7:10pm,Port Adelaide v Collingwood,Marvel Stadium,,97-69,W. Drew 32,C. Dixon 4
19,Sat 24 Jul 1:45pm,Carlton v North Melbourne,Marvel Stadium,,77-116,J. Simpkin 31,N. Larkey 7
19,Sat 24 Jul 2:35pm,West Coast v St Kilda,Optus Stadium,43657,94-86,Z. Jones 32,D. Sheed 32; M. King 6
19,Sat 24 Jul 3:10pm,Brisbane v Gold Coast,Gabba,16660,120-71,B. Fiorini 41,L. McCarthy 4
19,Sat 24 Jul 7:25pm,Melbourne v Western Bulldogs,MCG,,65-85,J. Macrae 38,C. Oliver 38; -
19,Sat 24 Jul 7:40pm,Adelaide v Hawthorn,Marvel Stadium,,102-83,R. Laird 36,T. Walker 4
19,Sun 25 Jul 12:30pm,Sydney v Fremantle,People First Stadium,2875,98-58,A. Brayshaw 34,J. Kennedy 34; I. Heeney 5
19,Sun 25 Jul 3:20pm,Geelong v Richmond,MCG,,95-57,C. Guthrie 34,T. Hawkins 4; E. Ratugolea 4
19,Sun 25 Jul 6:10pm,Essendon v GWS,People First Stadium,2681,53-66,L. Whitfield 35,J. Hogan 2; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
20,Fri 30 Jul 7:50pm,St Kilda v Carlton,Marvel Stadium,,81-112,J. Steele 36,H. McKay 5
20,Sat 31 Jul 12:20pm,Western Bulldogs v Adelaide,Mars Stadium,,105-56,C. Daniel 32,-
20,Sat 31 Jul 1:15pm,North Melbourne v Geelong,Ninja Stadium,8083,42-62,A. Hall 36,G. Rohan 2; C. Guthrie 2; N. Larkey 2
20,Sat 31 Jul 4:15pm,Collingwood v West Coast,MCG,,90-45,J. Crisp 36,-
20,Sun 1 Aug 12:10pm,Gold Coast v Melbourne,Marvel Stadium,,30-128,C. Oliver 35,B. Brown 4; L. Jackson 4
20,Sun 1 Aug 2:10pm,Hawthorn v Brisbane,UTAS Stadium,5381,92-80,J. Lyons 38,D. McStay 4
20,Sun 1 Aug 3:10pm,Fremantle v Richmond,Optus Stadium,24979,55-51,A. Brayshaw 39,M. Taberner 3
20,Sun 1 Aug 3:10pm,Essendon v Sydney,MCG,,102-109,Z. Merrett 35,T. Papley 4
20,Sun 1 Aug 6:10pm,GWS v Port Adelaide,Marvel Stadium,,73-100,K. Amon 31,J. Kelly 31; C. Dixon 4; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
21,Fri 6 Aug 7:50pm,Geelong v GWS,GMHBA Stadium,,65-84,L. Whitfield 34,T. Taranto 34; I. Cumming 34; T. Greene 4
21,Sat 7 Aug 1:45pm,Carlton v Gold Coast,Marvel Stadium,,57-76,T. Miller 34,J. Honey 2; J. Townsend 2; T. Miller 2
21,Sat 7 Aug 4:35pm,Richmond v North Melbourne,MCG,,89-56,A. Hall 38,L. Davies-Uniacke 38; C. Zurhaar 4
21,Sat 7 Aug 7:10pm,Adelaide v Port Adelaide,Adelaide Oval,14736,51-55,P. Seedsman 31,R. Laird 31; H. Schoenberg 31; N. McHenry 2; Z. Butters 2
21,Sat 7 Aug 7:40pm,St Kilda v Sydney,Marvel Stadium,,93-64,J. Steele 34,J. Higgins 4
21,Sun 8 Aug 2:10pm,Hawthorn v Collingwood,MCG,,97-78,T. Mitchell 44,J. Ginnivan 3; J. Koschitzke 3
21,Sun 8 Aug 3:10pm,Fremantle v Brisbane,Optus Stadium,29589,54-118,D. Zorko 34,J. Daniher 4
21,Sun 8 Aug 3:20pm,Western Bulldogs v Essendon,Marvel Stadium,,84-97,J. Macrae 38,P. Wright 7
21,Mon 9 Aug 6:10pm,West Coast v Melbourne,Optus Stadium,31584,63-72,E. Yeo 31,B. Brown 3; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
22,Fri 13 Aug 7:50pm,GWS v Richmond,Marvel Stadium,,106-67,J. Short 32,J. Kelly 32; T. Taranto 4
22,Sat 14 Aug 1:45pm,Hawthorn v Western Bulldogs,UTAS Stadium,7822,64-37,D. Howe 34,C. Weightman 2; J. Koschitzke 2
22,Sat 14 Aug 4:05pm,Port Adelaide v Carlton,Adelaide Oval,13943,140-45,T. Boak 31,O. Wines 31; C. Dixon 4
22,Sat 14 Aug 4:35pm,Geelong v St Kilda,GMHBA Stadium,,85-71,C. Guthrie 36,J. Cameron 4
22,Sat 14 Aug 7:25pm,Brisbane v Collingwood,Gabba,15146,142-57,L. Neale 31,C. Cameron 6
22,Sat 14 Aug 7:40pm,North Melbourne v Sydney,Marvel Stadium,,77-91,A. Hall 30,C. Zurhaar 3; W. Hayward 3
